,0
0,williamsburg
1,bedstuy
2,bushwick
3,crown heights
4,clinton hill
5,brooklyn
6,prospect heights
7,flatbush
8,fort greene
9,bed-stuy
10,bed stuy
11,park slope
12,park slope north garfield place
13,bedford-stuyvesant
14,bedford stuyvesant
15,lafayette ave patchen ave
16,east williamsburg
17,greenpoint
18,prospect lefferts gardens
19,ditmas park prospect park
20,prospect park south
21,prospect lefferts garden
22,east flatbush
23,midwood
24,bushwick ave granite st
25,lefferts gardens prospect park
26,ditmas park
27,bedstuy clinton hill
28,brooklyn heights
29,crown heights lefferts gardens
30,macon st marcy ave
31,dumbo
32,lafayette ave btw malcolm x and patchen
33,clinton hill bed stuy
34,downtown brooklyn
35,bed stuy -jmz at myrtle broadway
36,east new york
37,flatbush ditmas park
